year,address,type,lat,long
2020,"74 school st, bridgeport, ca 93517",School,38.25497544104343,-119.22880922120152
2020,"55 school st, colfax, ca 95713",School,39.102490292993494,-120.95355316120595
2020,"1532 church st, redlands, ca 92374",Church,34.07489316241026,-117.17365635121416
2020,"2929 running springs school rd, running springs, ca 92382",School,34.200684676943524,-117.0936441024258
2020,"1615 schoolhouse way, san marcos, ca 92078",School,33.1008966,-117.1972816
2020,"450 church st, san francisco, ca 94114",Church,37.76351047893792,-122.42864190438854
2020,"990 church st, san francisco, ca 94114",Church,37.75562633085775,-122.42788117781538
2020,"1456 church st, san francisco, ca 94131",Church,37.74754876929984,-122.42710388688647
2020,"1200 s. main, school gym, templeton, ca 93465",School,35.54067528386156,-120.71081797186162
2020,"605 school st, loyalton, ca 96118",School,39.6768989,-120.24198350005443
2020,"134 church st, etna, ca 96027",Church,41.45566,-122.900059
2020,"1718 churchill way, plumas lake, ca 95961",Church,39.00173983838937,-121.55046788747296
2014,"1 school ridge road, danbury, ct 06811",School,41.387711329732895,-73.48054223465579
2014,"church street, newington, ct 06111",Church,41.6519889,-72.7370011
2014,"415 church st, yalesville ct, ct 06492",Church,41.49192429130318,-72.82388213805348
2014,"school road, weston, ct 06883",School,41.209648,-73.3804263
2016,"3 schoolhouse rd, columbia, ct 06237",School,41.70322999561358,-72.29973313042888
2020,"10 school street, rocky hill, ct 06067",School,41.65010721876894,-72.64098887845944
2020,"301 mckennans church rd, wilmington de 19808",Church,39.75979955865307,-75.66194872194274
2020,"1015 church rd, newark de 19702",Church,39.62216921824955,-75.68328876385897
2020,"1545 church rd, bear de 19701",Church,39.60813281533956,-75.66698120862446
2020,"187a old churchmans rd, new castle de 19720",Church,39.67573520735294,-75.61739258505747
2020,"345 school bell rd, bear de 19701",School,39.651214758830065,-75.64541028245196
2020,"2106 st james church rd, wilmington de 19808",Church,39.71752832857038,-75.66045144659779
2020,"190 salem church rd, newark de 19713",Church,39.66441380842099,-75.69623412114157
2020,"26064 school rd, millsboro de 19966",School,38.62982283448497,-75.1848586529253
2016,"392 altamaha school rd, baxley, ga 31513",School,31.8759243334473,-82.3691607573013
2016,"334 rockwell church rd nw, winder, ga 30680",Church,34.026464691903584,-83.74053993164938
2016,"240 matthews school rd, winder, ga 30680",School,33.98169882074535,-83.76358096015895
2016,"189 olive vine church rd, rydal, ga 30171",Church,34.339251364510574,-84.73483175186192
2016,"1934 union church rd, register, ga 30452",Church,32.28448301338625,-81.83552260355003
2016,"1593 spring branch church road, waynesboro, ga 30830",Church,33.17763801162448,-81.92346690718443
2016,"710 stone ave (church), waynesboro, ga 30830",Church,33.09761244924806,-82.00406111373525
2016,"160 towaliga church rd, jackson, ga 30233",Church,33.24602202885609,-84.05115632232793
2016,"114 new hope church rd, carrollton, ga 30117",Church,33.59708874814737,-85.13961977033728
2016,"2829 oak grove church rd, carrollton, ga 30117",Church,33.52550788682282,-85.08671098630515
2016,"77 old camp church rd, carrollton, ga 30117",Church,33.55722722015429,-85.13443192897677
2016,"311 goshen church way, waleska, ga 30183",Church,34.397543572384905,-84.58962281868321
2016,"253 shiloh church rd, dawsonville, ga 30534",Church,34.34995442648682,-84.26325713730665
2016,"900 gaines school road, athens, ga 30605",School,33.92917714833129,-83.33585894966018
2016,"7013 church st, riverdale, ga 30274",Church,33.5636416121535,-84.41692352870052
2016,"1030 milford church rd, marietta, ga 30060",Church,33.88092265343698,-84.58513558453967
2016,"5220 church st sw, mableton, ga 30126",Church,33.825362029032476,-84.5819011303717
2016,"230 school circle, west green, ga 31567",School,31.611734826037605,-82.73634105747738
2016,"100 church st, broxton, ga 31519",Church,31.625212266315714,-82.88681629440771
2016,"231 schley church rd, moultrie, ga 31768",Church,31.231597821435287,-83.83139116279546
2016,"school st, rising fawn, ga 30738",School,34.7623803,-85.5343515
2016,"3999 church street, clarkston, ga 30021",Church,33.81164649384186,-84.23775115175613
2016,"8445 ephesus church rd, villa rica, ga 30180",Church,33.71085592503596,-84.85375238030338
2016,"3301 shoals school rd, douglasville, ga 30135",School,33.72391590043327,-84.65220196252568
2016,"6754 church street, douglasville, ga 30134",Church,33.74958609803673,-84.75047697980779
2016,"148 church of god street, statenville, ga 31648",Church,30.705064416013613,-83.0233514717109
2016,"221 school house rd, epworth, ga 30541",School,34.94938585027957,-84.38780697011111
2016,"106 whitworth school-farmer rd, lavonia, ga 30553",School,34.48230000428765,-83.09846747018514
2016,"2651 church st, east point, ga 30344",Church,33.68301691355214,-84.4415036461283
2016,"73 crossroads church rd, ellijay, ga 30540",Church,34.69256414064404,-84.58211950474782
2016,"2730 walker church rd, greensboro, ga 30642",Church,33.50187922407622,-83.18125256076468
2016,"2306 bethany church rd, snellville, ga 30039",Church,33.833499619100394,-84.069179868878
2016,"525 bethesda school rd, lawrenceville, ga 30044",School,33.92651272551666,-84.08480814089523
2016,"444 bethesda church rd, lawrenceville, ga 30044",Church,33.9206733886528,-84.08455148785532
2016,"202 hebron church rd ne, dacula, ga 30019",Church,33.99635490904956,-83.9080956804811
2016,"4515 lenora church rd, snellville, ga 30039",Church,33.796421983165885,-84.00202967568373
2016,"6066 rockbridge school rd, norcross, ga 30093",School,33.89809124167874,-84.19773856823878
2016,"1166 church st, sugar hill, ga 30518",Church,34.1058651715893,-84.03730097933936
2016,"600 taylor school dr, lawrenceville, ga 30043",School,34.009154936724656,-83.99555389264742
2016,"3895 zoar church rd, snellville, ga 30039",Church,33.80955679224252,-84.0457999179248
2016,"3809 sardis church rd, buford, ga 30519",Church,34.08336306921194,-83.908463711987
2016,"124 st mark church rd, sparta, ga 31087",Church,33.279406620884856,-82.99207638467743
2016,"1799 macedonia church rd, buchanan, ga 30113",Church,33.7820614,-85.1995829
2016,"2011 reed creek school rd, hartwell, ga 30643",School,34.44398965785291,-82.92273615326542
2016,"2395 providence church rd, lavonia, ga 30553",Church,34.44655465182211,-83.03598482688614
2016,"300 e church st, centerville, ga 31028",Church,32.62359092198295,-83.68309764494916
2016,"675 frank church rd, ociila, ga 31774",Church,31.63472852123118,-83.21444745427863
2016,"7849 church st, bartow, ga 30413",Church,32.884369,-82.472767
2016,"1086 school dr, millen, ga 30442",School,32.813113439606354,-81.95076915545872
2016,"262 church road, stockton, ga 31649",Church,30.939845852032988,-83.00209382276154
2016,"2615 bethany church rd, lincolnton, ga 30817",Church,33.850907042557935,-82.44051938536808
2016,"2466 new hope church rd, comer, ga 30629",Church,34.09069444454366,-83.09175220382605
2016,"2352 church of god rd nw, townsend, ga 31331",Church,31.54402099368872,-81.52067386391138
2016,"3045 white church rd, meigs, ga 31765",Church,31.182025202037778,-84.02744964912654
2016,"66 blue ridge school rd, forsyth, ga 31029",School,33.16488713947501,-83.90953711839973
2016,"1041 church st, bostwick, ga 30623",Church,33.7351747,-83.5100358
2016,"50 zion hill church rd, chatsworth, ga 30705",Church,34.86981039122492,-84.80077699050537
2016,"4138 school st, covington, ga 30014",School,33.59384857776257,-83.86849196567908
2016,"118 church st, newborn, ga 30056",Church,33.5179322,-83.6946726
2016,"1100 antioch church rd, watkinsville, ga 30677",Church,33.76799821565572,-83.32377689365802
2016,"44 russom elementary school ln, dallas, ga 30132",School,34.0227795,-84.74894860378043
2016,"339 w church st, jasper, ga 30143",Church,34.46648720526582,-84.43308838812283
2016,"2681 jerusalem church rd, jasper, ga 30143",Church,34.44502445480464,-84.57629138778702
2016,"108 school dr, cuthbert, ga 39840",School,31.760644402703406,-84.79345104713514
2016,"294 church st, blythe, ga 30805",Church,33.29860995627945,-82.20587612218401
2016,"3601 union church road, stockbridge, ga 30281",Church,33.594192556322525,-84.13788590424525
2016,"416 county line church rd, griffin, ga 30223",Church,33.329166093770255,-84.35473712701645
2016,"103 w church st, plains, ga 31780",Church,32.03390913887574,-84.39277810445208
2016,"301 old school house rd, geneva, ga 31810",School,32.58155823903701,-84.54904140307184
2016,"132 church st, loganville, ga 30052",Church,33.83936673118171,-83.89732598464792
2016,"25 church street, cleveland, ga 30528",Church,34.6038716,-83.7545431
2016,"986 mt pleasant church rd, cleveland, ga 30528",Church,34.6431357,-83.84110795752343
2018,"4007 church street, clarkston, ga 30021",Church,33.81195296278645,-84.23754245022741
2018,"190 mt olive church rd, commerce, ga 30529",Church,34.218454571428566,-83.48272757142857
2020,"1622 union grove church rd, auburn, ga 30011",Church,34.037946419828245,-83.8483423568897
2020,"10 church street, register, ga 30452",Church,32.365863434548885,-81.88298960286829
2020,"35 subligna baptist church rd, summerville, ga 30747",Church,34.55807438717562,-85.18776737270895
2020,"1275 church street, smyrna, ga 30080",Church,33.8816449252854,-84.51803156892788
2020,"810 church st se, smyrna, ga 30080",Church,33.88116696106198,-84.52908280384003
2020,"381 west church street, harlem, ga 30814",Church,33.41482089367503,-82.31967429738893
2020,"3132 clifton church rd, se, atlanta, ga 30316",Church,33.69421343317964,-84.30431549546842
2020,"3181 antioch church rd, eastman, ga 31023",Church,32.26839536420118,-83.3099101958793
2020,"2885 church st, east point, ga 30344",Church,33.67607738182778,-84.44479787157042
2020,"909 harmony grove church rd, acworth, ga 30101",Church,34.050270071947295,-84.7781505351063
2020,"140 bethel church rd, hiram, ga 30141",Church,33.830837625865854,-84.78287345101285
2020,"339 w church st, jasper, ga 30143-1401",Church,34.46648720526582,-84.43308838812283
2020,"664 town creek church rd, dahlonega, ga 30533",Church,34.57012212361769,-83.89217825921685
2014,"4435 churchill dr, richton park, il 60471",Church,41.485695,-87.72440770623248
2014,"13900 school st, riverdale, il 60827",School,41.64263789115904,-87.62943044352494
2014,"2130 school house rd, mulkeytown, il 62865",School,37.968357,-89.115213
2014,"elkville christian church, 114 s 2nd st, elkville, il 62932",Church,37.90983172515456,-89.23779351888857
2014,"4385 gilead church rd, simpson, il 62985",Church,37.481921905148056,-88.77258965254663
2014,"mt clare school, 410 berry st, gillespie, il 62033",School,39.098401458158264,-89.82354141923116
2014,"federated church, 122 e second south, carlinville, il 62626",Church,39.27772630115874,-89.88120850216956
2014,"charity baptist church, 21964 charity church rd, carlinville, il 62626",Church,39.3156782265616,-89.95685945275301
